# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9350128286561847,3.0,0.12957090586662473,0,3.0,0,-90.0,0.0,0.0
 0.01030549808755463,1.9351721331850826,3.0000003602580763,0.12957090586662473,0.030916494262663883,2.999999999999999,0,-90.0,-1.1813752041867227e-8,0.0
 0.020583422923732247,1.9356483429800233,3.0000014371792765,0.12957090574520388,0.061750268771196735,3.0,0.00008529298418574006,-90.0,1.0415782963735633e-8,0.0
 0.030833719029083887,1.9364389023533777,3.000003224984061,0.12957090585196873,0.09250115708725165,2.9999999999999996,-0.00004586015648195583,-90.0,-4.315986587613117e-9,0.0
 0.04105633062567415,1.9375412556175162,3.000005717892887,0.12957090580784808,0.12316899187702245,2.9999999999999996,0,-90.0,1.2628786906005247e-9,0.0
 0.05125120163457687,1.9389528470848094,3.000008910126214,0.12957090582072298,0.1537536049037306,3.0,-0.000030232906739866762,-90.0,-1.9745760749727957e-9,0.0
 0.06141827567332937,1.940671121067628,3.0000127959045,0.1295709058006473,0.18425482701998808,2.9999999999999973,0,-90.0,2.4442591391722374e-9,0.0
 0.07155749605335691,1.9426935218783425,3.0000173694482046,0.12957090582543018,0.2146724881600707,3.0,0,-90.0,-2.4233253589102476e-9,-1.405441540521109e-12
 0.08166880577736928,1.9450174938293237,3.000022624977785,0.1295709058009272,0.2450064173321078,3.0,0.000021452392830974496,-90.00000000000001,1.0926379051231986e-9,1.4093397857916477e-12
 0.09175214753673042,1.947640481232942,3.0000285567137013,0.12957090581194464,0.2752564426101912,3.0000000000000013,0.00001808255336183128,-90.0,9.438564642904153e-10,0.0
 0.10180746370879502,1.9505599284015684,3.000035158876412,0.1295709058214354,0.30542239112638503,2.9999999999999987,0,-90.0,-7.358846774506984e-10,0.0
 0.11183469635421142,1.953773279647573,3.000042425686375,0.12957090581405653,0.33550408906263424,3.0000000000000013,0,-90.0,1.7303790623996915e-10,0.0
 0.12183378721420299,1.9572779792833268,3.0000503513640497,0.12957090581578676,0.36550136164260894,3.0,0,-90.0,-4.669925977673482e-10,0.0
 0.1318046777078085,1.9610714716212005,3.000058930129894,0.12957090581113043,0.3954140331234254,2.9999999999999942,0,-90.0,2.763855144201749e-10,-1.4292851056149093e-12
 0.1417473089290918,1.9651512009735643,3.0000681562043674,0.12957090581387842,0.42524192678727535,3.0000000000000058,0,-90.00000000000001,-2.9514000526230316e-10,1.4333676093719879e-12
 0.1516616216443263,1.9695146116527893,3.000078023807928,0.12957090581095232,0.45498486493297885,2.9999999999999942,0,-90.0,3.3974185186312163e-10,0.0
 0.1615475562891361,1.9741591479712457,3.0000885271610347,0.12957090581431097,0.48464266886740826,3.0,0,-90.0,-6.995125411371407e-10,0.0
 0.17140505296561248,1.9790822542413045,3.0000996604841457,0.12957090580741554,0.5142151588968373,2.9999999999999973,0,-90.0,9.086375961270222e-10,0.0
 0.1812340514393902,1.984281374775336,3.000111417997721,0.12957090581634653,0.5437021543181705,3.0,-0.000009560832056227257,-90.0,-8.827265919468553e-11,1.4500221575888083e-12
 0.191034491136693,1.989753953885711,3.000123793922218,0.12957090581548142,0.5731034734100788,2.9999999999999973,-0.000008872982270667122,-89.99999999999999,-4.973369905466253e-10,-1.4542689804395436e-12
 0.20080631114134362,1.9954974358848,3.0001367824780956,0.12957090581062153,0.6024189334240306,2.9999999999999916,0,-90.0,4.544051043199273e-10,0.0
 0.21054945019173624,2.001509265084974,3.000150377885813,0.12957090581504888,0.6316483505752085,3.0000000000000027,0,-90.0,-3.8241056696502794e-10,0.0
 0.2202638466777756,2.007786885798603,3.000164574365828,0.129570905811334,0.6607915400333265,2.9999999999999916,0.000007261734839580067,-90.0,8.406527983184782e-11,0.0
 0.22994943863777756,2.0143277423380583,3.0001793661386,0.1295709058121482,0.6898483159133324,3.0,0.000006838104784983181,-90.0,4.97994777715052e-10,-1.4716018673210479e-12
 0.23960616375533392,2.02112927901571,3.000194747424588,0.1295709058169572,0.7188184912660015,3.0000000000000027,0,-90.00000000000001,-6.289888531700661e-10,1.4760237238535565e-12
 0.24923395935613954,2.0281889401439286,3.0002107124442494,0.12957090581090142,0.7477018780684184,3.0,0,-90.0,1.7230152821974502e-10,1.4804819562596797e-12
 0.2588327624047796,2.035504170035085,3.000227255418044,0.12957090581255531,0.7764982872143386,3.000000000000003,0,-89.99999999999999,1.861188810552378e-10,0.0
 0.2684025095014804,2.0430724130015503,3.00024437056643,0.12957090581433642,0.805207528504441,2.9999999999999942,0,-89.99999999999999,-4.747182430751107e-10,-2.9790189162942756e-12
 0.2779431368788181,2.050891113355694,3.0002620521098655,0.12957090580980732,0.833829410636454,2.9999999999999942,0,-90.00000000000001,5.751549742012887e-10,1.4940797036704044e-12
 0.2874545803983915,2.058957715409888,3.0002802942688107,0.12957090581527786,0.8623637411951742,3.0000000000000058,0,-90.0,-7.513494896998082e-11,0.0
 0.2969367755474489,2.067269663476502,3.0002990912637233,0.12957090581456543,0.8908103266423464,2.9999999999999942,0,-90.0,-4.306739511289612e-11,0.0
 0.30638965743547897,2.0758244018679073,3.000318437315062,0.1295709058141583,0.9191689723064366,3.0,-0.000006521112626730836,-90.0,-3.2131235513994836e-10,0.0
 0.315813160790756,2.084619374896474,3.000338326643285,0.12957090581113043,0.9474394823722677,3.0000000000000058,0.000006260612318161709,-90.0,3.169023240343643e-10,0.0
